Average Precol GPA,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
3.175,3,156,140
3.19,3,146,152
3.2,3,166,150
3.2,3,156,142
3.2,3,145,141
3.2,3,162,147
3.2,3,166,140
3.22,3,166,153
3.22,3,166,153
3.22,3,153,144
3.225,3,144,144
3.23,3,164,147
3.24,3,166,150
3.25,3,160,156
3.25,3,164,153
3.26,3,170,150
3.26,3,168,154
3.27,3,145,143
3.27,3,151,155
3.275,3,140,154
3.285,3,161,149
3.3,3,164,150
3.3,3,165,151
3.305,3,168,143
3.31667,3,150,152
3.32,3,166,153
3.32,3,168,147
3.33,3,155,139
3.35667,3,148,152
3.36,3,163,146
3.37,3,165,149
3.37,3,158,144
3.375,3,163,145
3.375,3,157,146
3.38,3,164,162
3.38,3,163,141
3.39,3,135,132
3.395,3,156,151
3.395,3,138,145
3.4,3,152,139
3.4,3,170,150
3.4,3,163,157
3.4,3,165,155
3.41,3,162,149
3.425,3,159,157
3.43,3,165,150
3.435,3,169,150
3.44,3,168,152
3.44,3,159,143
3.44,3,163,149
3.445,3,166,164
3.45,3,170,156
3.46,3,153,164
3.48144,3,151,161
3.48144,3,161,153
3.48144,3,166,145
3.48144,3,166,145
3.48144,3,159,156
3.48144,3,139,158
3.48144,3,156,139
3.48144,3,166,139
3.48144,3,163,143
3.48144,3,166,137
3.48144,3,158,146
3.48144,3,157,152
3.48144,3,166,152
3.48144,3,166,145
3.48144,3,164,152
3.48144,3,166,158
3.48144,3,157,140
3.48144,3,166,155
3.48144,3,157,150
3.48144,3,159,143
3.48144,3,166,166
3.48144,3,152,148
3.48144,3,155,153
3.48144,3,155,136
3.48144,3,170,150
3.48144,3,163,152
3.48144,3,160,139
3.48144,3,138,145
3.48144,3,165,149
3.48144,3,156,143
3.48144,3,140,137
3.48144,3,139,159
3.48144,3,163,143
3.48144,3,158,138
3.48144,3,137,146
3.48144,3,147,138
3.48144,3,153,151
3.48144,3,160,141
3.48144,3,157,152
3.48144,3,166,154
3.48144,3,166,164
3.48144,3,142,148
3.48144,3,151,152
3.48144,3,154,155
3.48144,3,145,161
3.48144,3,168,158
3.48144,3,148,146
3.48144,3,158,138
3.48144,3,160,144
3.48144,3,164,143
3.48144,3,167,149
3.48144,3,168,148
3.48144,3,162,147
3.48144,3,150,142
3.48144,3,168,152
3.48144,3,142,142
3.49,3,156,141
3.49,3,164,150
3.492,3,142,159
3.5,3,158,145
3.5,3,164,140
3.51333,3,163,154
3.52,3,167,144
3.53,3,165,151
3.53,3,144,148
3.535,3,163,143
3.54,3,161,141
3.55,3,166,144
3.55,3,153,138
3.55,3,166,169
3.56,3,164,138
3.57,3,166,146
3.57,3,152,154
3.575,3,163,149
3.58,3,165,152
3.58,3,166,154
3.595,3,166,149
3.6,3,166,154
3.6,3,158,153
3.6,3,166,148
3.64,3,170,151
3.66,3,159,156
3.66667,3,138,143
3.685,3,156,148
3.695,3,153,142
3.7,3,158,151
3.7,3,166,165
3.7,3,156,144
3.7,3,166,147
3.7,3,166,150
3.71,3,168,148
3.715,3,153,149
3.72,3,166,170
3.72,3,164,154
3.745,3,156,138
3.75,3,164,142
3.75,3,158,161
3.78667,3,143,151
3.79,3,159,152
3.8,3,154,146
3.81,3,165,153
3.81,3,156,140
3.82667,3,169,151
3.835,3,164,158
3.84,3,163,160
3.84,3,159,155
3.875,3,166,164
3.875,3,154,145
3.88,3,159,145
3.88,3,162,152
3.89,3,166,146
3.9,3,141,146
3.9,3,161,138
3.9,3,168,155
3.905,3,168,135
3.91,3,165,141
3.92,3,166,152
