,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,PC1,PC2,PC3,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship,SAPC1,SAPC2,SAPC3   ,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
769,0,4968,4968,5166,2006,22.7,GD Watson,36,Doctor of Philosophy,Male,1,769,India,R99,Materials Engineering,15893.65,Mechanical Engineering PhD,0,32201.65,16308,1,3.79E-16,-5.79E-16,-1.21E-15,2.82,3.12,3.9,2.3,4,3.85,3.14,0,1,0.09,7,3.3,6.7,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
770,0,0,3141,3141,2006,36.7,GD Harpur,50,Doctor of Philosophy,Female,1,770,White,C23,English,70541.3,Harpur Doctor of Philosophy,Masters Prepared,89765.3,19224,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,4,4,4,4,4,0,0,8,4,5.7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
771,0,0,0,0,2007,23.7,GD Watson,36,Doctor of Philosophy,Male,1,771,Europe,R96,Electrical Engineering,25087.35,Electrical Engineering PhD,0,31755.35,6668,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,4,0,0,0,0,0,0,4,4,3.7,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
772,0,0,0,0,2007,38.3,GD Education,51,Doctor of Education,Female,1,772,White,E99,Educational Theory and Practic,5226.49,Education EDD,0,6356.49,1130,1,3.79E-16,-5.79E-16,-1.21E-15,0,0,0,0,0,0,0,0,0,0,0,0,7,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
773,0,0,0,0,2006,26.7,GD Harpur,40,Doctor of Philosophy,Female,1,773,Asian,C15,Chemistry,12736.14,Harpur Doctor of Philosophy,Bachelors Prepared,13804.14,1068,1,3.79E-16,-5.79E-16,-1.21E-15,3.65,3.82,3.85,4,0,0,0,0,1,0.11,4,3.83,5.7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
774,3699,3699,3888,3888,2013,28,GD Harpur,34,Doctor of Philosophy,Male,1,774,White,C23,English,26301.05,Harpur Doctor of Philosophy,Masters Prepared,42834.05,16533,1,0.318245457,-0.586724496,0.634038287,3.65,4,4,4,0,0,0,0,0,0.11,4,3.91,3.4,GD Harpur,White,-222.9501986,113.0065,4.968616847,3.35000 ,,4.5000 ,149.0000 ,152.0000 
775,0,0,0,0,2005,38.7,GD Harpur,53,Doctor of Philosophy,Male,1,775,Unknown,C01,Anthropology,62524.65,Harpur Doctor of Philosophy,Masters Prepared,63222.65,698,1,3.79E-16,-5.79E-16,-1.21E-15,3.9,3.9,3.94,4,0,0,0,0,0,0.03,4,3.94,8.7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
776,4185,4185,3330,3330,2010,22,GD Harpur,31,Doctor of Philosophy,Male,1,776,White,C49,Physics,43167.63,Harpur Doctor of Philosophy,Bachelors Prepared,71097.63,27930,1,-0.3633497,0.403292855,0.604833796,3.43,3.77,4,4,0,0,0,0,0,0.19,4,3.8,6,GD Harpur,White,-222.9505186,109.088,4.756776847,3.03000 ,,4.0000 ,160.0000 ,156.0000 
777,4185,4185,3141,3330,2009,22,GD Harpur,32,Doctor of Philosophy,Female,1,777,Hispanic or Latino,C15,Chemistry,8080.48,Harpur Doctor of Philosophy,Masters Prepared,26242.48,18162,1,3.79E-16,-5.79E-16,-1.21E-15,3.5,3.7,3.5,3,0,0,0,0,0,-0.17,4,3.42,5,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
778,4185,3141,3141,3330,2009,22,GD Harpur,32,Doctor of Philosophy,Female,1,778,Asian,C13,Biological Sciences,6541.13,Harpur Doctor of Philosophy,Bachelors Prepared,25312.13,18771,1,3.79E-16,-5.79E-16,-1.21E-15,3.95,3.8,4,3.7,4,4,0,0,0,0.02,6,3.91,6,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
779,349,349,349,370,2005,22.7,GD Harpur,37,Doctor of Philosophy,Female,1,779,White,C15,Chemistry,66661.54,Harpur Doctor of Philosophy,Bachelors Prepared,68838.54,2177,1,3.79E-16,-5.79E-16,-1.21E-15,3.23,2.35,3.35,3.35,3.7,0,0,0,0,0.19,5,3.2,8.7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
780,0,0,0,0,2006,24.7,GD Harpur,38,Doctor of Philosophy,Male,1,780,White,C43,Political Science,139946.8,Harpur Doctor of Philosophy,Bachelors Prepared,143436.8,3490,1,3.79E-16,-5.79E-16,-1.21E-15,3.77,3.43,3.9,3.7,3.9,0,0,0,0,0.05,5,3.74,8.2,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
781,0,3510,3510,3699,2012,22.3,GD Harpur,30,Doctor of Philosophy,Male,1,781,Hispanic or Latino,C13,Biological Sciences,15814.9,Harpur Doctor of Philosophy,Bachelors Prepared,38194.9,22380,1,0.142717192,-0.520683574,1.148868307,3.43,4,3.93,4,4,4,4,0,0,0.06,7,3.91,7,GD Harpur,White,-222.9505486,126.4965,4.736916847,3.00000 ,,4.5000 ,153.0000 ,155.0000 
782,0,0,0,0,2006,26.7,GD Education,40,Doctor of Education,Female,1,782,White,E99,Educational Theory and Practic,21301.7,Education EDD,0,24791.7,3490,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,4,4,0,0,0,0,0,5,4,4.7,GD Non-Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
783,0,0,0,0,2005,24.7,GD Harpur,39,Doctor of Philosophy,Male,0,783,White,C13,Biological Sciences,44892.18,Harpur Doctor of Philosophy,Bachelors Prepared,44892.18,0,1,3.79E-16,-5.79E-16,-1.21E-15,3,3.88,3.36,4,4,4,4,4,0,0.11,8,3.78,4.2,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
784,0,0,0,0,2007,23.7,GD Harpur,36,Doctor of Philosophy,Female,1,784,China,C22,Economics,32024.69,Harpur Doctor of Philosophy,Bachelors Prepared,48332.69,16308,1,3.79E-16,-5.79E-16,-1.21E-15,3.9,3.8,3.9,3.65,3.85,3.7,3.7,0,0,-0.03,7,3.79,5,GD Harpur,China,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
785,0,0,0,0,2007,24.7,GD Harpur,37,Doctor of Philosophy,Male,1,785,China,C15,Chemistry,27348.4,Harpur Doctor of Philosophy,Bachelors Prepared,30864.4,3516,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.88,3.35,0,0,0,0,0,0,-0.33,3,3.74,5,GD Harpur,China,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
