,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,PC1,PC2,PC3,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship,SAPC1,SAPC2,SAPC3   ,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
786,0,0,0,0,2007,22.7,GD Harpur,35,Doctor of Philosophy,Female,1,786,White,C29,History,42363.92,Harpur Doctor of Philosophy,Bachelors Prepared,50083.92,7720,1,3.79E-16,-5.79E-16,-1.21E-15,3.9,4,3.66,3.9,3.85,0,0,0,0,-0.02,5,3.86,8.2,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
787,0,0,0,0,1999,34.7,GD Harpur,55,Doctor of Philosophy,Male,0,787,White,C38,Philosophy Interpretation and,6471.5,Harpur Doctor of Philosophy,Bachelors Prepared,6471.5,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.3,4,4,4,4,0,0,0,0.06,6,3.88,12.7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
788,0,0,0,0,2006,30.7,GD Harpur,44,Doctor of Philosophy,Male,0,788,Other International Students,C60,Translation Studies,15346.05,Harpur Doctor of Philosophy,Bachelors Prepared,15346.05,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,4,4,0,0,0,0,0,0,4,4,3.7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
789,0,0,0,0,2007,28.7,GD Grad School,41,Doctor of Philosophy,Male,0,789,China,H21,Materials Science and Engineer,23107.8,Graduate School PhD,0,23107.8,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,0,0,0,0,0,0,0,0,2,4,2.2,GD Non-Harpur,China,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
790,0,0,0,0,2007,28.7,GD Harpur,41,Doctor of Philosophy,Male,0,790,China,H21,Materials Science and Engineer,23107.8,Graduate School PhD,0,23107.8,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,4,0,0,0,0,0,0,0,0,2,4,2.2,GD Harpur,China,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
791,0,0,0,0,2005,24.7,GD Harpur,39,Doctor of Philosophy,Male,0,791,Asian,C13,Biological Sciences,16208.2,Harpur Doctor of Philosophy,Bachelors Prepared,16208.2,0,1,3.79E-16,-5.79E-16,-1.21E-15,3.43,3.95,4,4,3.84,4,4,4,0,0.05,8,3.9,7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
792,0,0,0,0,2003,21.7,GD Harpur,38,Doctor of Philosophy,Female,0,792,White,C01,Anthropology,3144.3,Harpur Doctor of Philosophy,Masters Prepared,3144.3,0,1,3.79E-16,-5.79E-16,-1.21E-15,4,3.94,3.9,3.85,4,4,0,0,0,0,6,3.95,6.7,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
793,0,0,0,0,2007,21.7,GD Harpur,34,Doctor of Philosophy,Male,1,793,White,C29,History,28075.44,Harpur Doctor of Philosophy,Bachelors Prepared,36924.44,8849,1,3.79E-16,-5.79E-16,-1.21E-15,3.67,3.67,4,3.83,4,4,0,0,0,0.07,6,3.86,6.2,GD Harpur,White,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
794,4968,552,574,574,2007,27.7,GD Harpur,40,Doctor of Philosophy,Male,1,794,Africa,C15,Chemistry,5027.8,Harpur Doctor of Philosophy,Bachelors Prepared,11695.8,6668,1,3.79E-16,-5.79E-16,-1.21E-15,3.7,3.53,4,3.7,0,0,0,0,0,0.05,4,3.73,4.2,GD Harpur,Africa,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
795,0,0,0,0,2010,27.3,GD Grad School,37,Doctor of Philosophy,Male,1,795,China,H22,Material Sci and Eng-Engineerg,29896.65,Graduate School PhD,0,33003.65,3107,1,3.79E-16,-5.79E-16,-1.21E-15,0,0,0,0,0,0,0,0,0,0,0,0,2.6,GD Non-Harpur,China,-222.9500672,121.2944555,5.055630202,3.48144 ,,3.8165 ,157.3401 ,154.9181 
