,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
1148,0,0,0,0,2010,33,GD Watson,42,Doctor of Philosophy,Male,0,1148,Black or African American,R93,Systems Science,49139.06,Systems Science PhD,0,49139.06,0,1,3.85,4,0,0,0,0,0,0,0,0.15,2,3.92,3,GD Non-Harpur,White,3.92,,4,146,151
1149,6890,6890,5688,5688,2010,46,GD Harpur,55,Doctor of Philosophy,Male,1,1149,Africa,C60,Translation Studies,8989.74,Harpur Doctor of Philosophy,Bachelors Prepared,42625.74,33636,1,3.57,3.9,3.5,0,0,0,0,0,0,-0.04,3,3.66,3.4,GD Harpur,Africa,3.48144,,3.8165,157.3401,154.9181
1150,5166,5166,5688,632,2010,29,GD Watson,38,Doctor of Philosophy,Male,1,1150,Unknown,R87,Industrial and Systems Enginee,6877.1,Industrial and Systems Eng PhD,0,25330.1,18453,1,4,4,4,0,0,0,0,0,0,0,3,4,3,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
1151,5166,5166,5688,5688,2010,23,GD Harpur,32,Doctor of Philosophy,Male,1,1151,India,C12,Biological Sciences EEB,25259.3,Harpur Doctor of Philosophy,Masters Prepared,65567.3,40308,1,4,4,4,4,4,4,0,0,0,0,6,4,8.4,GD Harpur,White,3.48144,,4,156,163
1152,0,4890,4890,0,2010,50,GD Nursing,59,Doctor of Nursing Practice,Female,1,1152,White,D70,Family Nurse Practitioner,27541.05,Nursing DNP,0,46691.05,19150,1,3.85,4,3.79,4,3.84,3.91,3.3,0,1,-0.06,7,3.81,3.4,GD Non-Harpur,White,3.82,,3.8165,157.3401,154.9181
1153,6890,6890,5688,5688,2010,25,GD Harpur,34,Doctor of Philosophy,Male,1,1153,Africa,C15,Chemistry,13518.62,Harpur Doctor of Philosophy,Bachelors Prepared,41594.62,28076,1,3.7,3.88,3.7,0,0,0,0,0,0,0,3,3.76,5,GD Harpur,Africa,3.48144,,3.8165,157.3401,154.9181
1154,5166,5166,5688,5688,2010,26,GD Watson,35,Doctor of Philosophy,Male,1,1154,Asia,R93,Systems Science,15188.67,Systems Science PhD,0,43781.67,28593,1,3.2,3.57,3.23,3.43,3,0,0,0,1,-0.05,5,3.29,3.4,GD Non-Harpur,Asia,3.3,,2,144,134
1155,6890,6890,5688,5688,2010,26,GD Harpur,35,Doctor of Philosophy,Female,1,1155,Africa,C15,Chemistry,14223.77,Harpur Doctor of Philosophy,Bachelors Prepared,57035.77,42812,1,4,3.3,4,0,0,0,0,0,0,0,3,3.77,5.8,GD Harpur,Africa,3.48144,,3.8165,157.3401,154.9181
1156,2092.5,2092.5,3330,3330,2010,47,GD Nursing,56,Doctor of Philosophy,Female,1,1156,White,D99,Nursing,9996.35,Nursing PhD,0,20841.35,10845,1,4,3.3,3.9,3.82,4,0,0,0,0,0.05,5,3.8,4.4,GD Non-Harpur,White,3.4,,3.8165,157.3401,154.9181
1157,5166,5166,5688,5688,2010,25,GD Harpur,34,Doctor of Philosophy,Female,1,1157,Europe,C33,Comparative Literature,17285.53,Harpur Doctor of Philosophy,Bachelors Prepared,41308.53,24023,1,4,4,4,4,0,0,0,0,0,0,4,4,5.4,GD Harpur,White,3,,3.8165,157.3401,154.9181
1158,6255,6255,6885,6885,2012,24,GD Watson,31,Doctor of Philosophy,Male,1,1158,Asia,R98,Mechanical Engineering,10748.49,Mechanical Engineering PhD,0,40560.49,29812,1,3.9,3.77,3.15,3.7,0,0,0,0,0,-0.12,4,3.63,3.8,GD Non-Harpur,Asia,3.33,,3,155,139
1159,411,1233,432,432,2011,23,GD Harpur,31,Doctor of Philosophy,Female,1,1159,White,C29,History,1662.72,Harpur Doctor of Philosophy,Masters Prepared,5076.72,3414,1,3.9,3.9,4,3.77,3.7,0,0,0,1,-0.05,5,3.85,5,GD Harpur,White,3.67,,4.5,141,150
1160,0,0,2466,2466,2012,52,GD Nursing,59,Doctor of Nursing Practice,Female,1,1160,White,D72,X Gerontological NP,27197.55,Nursing DNP,0,32129.55,4932,1,4,3.9,4,0,0,0,0,0,0,0,3,3.97,1.4,GD Non-Harpur,White,3.7875,,3.8165,157.3401,154.9181
1161,5435,5435,453,0,2015,22,GD Watson,26,Doctor of Philosophy,Male,1,1161,White,R95,Electrical and Computer Engr,2375.25,Electrical Engineering PhD,0,13698.25,11323,1,4,4,4,4,0,0,0,0,0,0,4,4,2,GD Non-Harpur,White,3.96,,3.8165,157.3401,154.9181
1162,7580,7580,3510,3510,2011,21,GD Harpur,29,Doctor of Philosophy,Female,1,1162,White,C34,Mathematics,9155.54,Harpur Doctor of Philosophy,Bachelors Prepared,47415.54,38260,1,3.57,3.77,3.69,4,4,4,4,4,0,0.06,8,3.88,6.4,GD Harpur,White,3.6,,5,163,156
1163,6885,6885,0,841,2010,27,GD Watson,36,Doctor of Philosophy,Male,1,1163,Asia,R98,Mechanical Engineering,9838.65,Mechanical Engineering PhD,0,29074.65,19236,1,3.7,3.91,3.7,4,3.5,0,0,0,0,-0.03,5,3.76,6.8,GD Non-Harpur,Asia,3.48144,,1.5,158,132
1164,5688,5688,6255,0,2011,25,GD Watson,33,Doctor of Philosophy,Male,1,1164,Asia,R98,Mechanical Engineering,33203.84,Mechanical Engineering PhD,0,50834.84,17631,1,3.57,3.6,3,4,4,0,0,0,0,0.13,5,3.63,3.8,GD Non-Harpur,Asia,2.7,,2.5,157,135
1165,3510,3510,3699,3699,2011,26.3,GD Harpur,35,Doctor of Philosophy,Female,1,1165,White,C23,English,5015.7,Harpur Doctor of Philosophy,Masters Prepared,21203.7,16188,1,3.9,3.93,4,4,3.85,4,4,0,0,0.01,7,3.95,6,GD Harpur,White,3.53,,5,143,158
1166,4435,3330,390,390,2011,53,GD Watson,61,Doctor of Philosophy,Male,1,1166,White,R92,Computer Science,7193.82,Computer Science PhD,0,16170.82,8977,1,4,4,0,0,0,0,0,0,0,0,2,4,6,GD Non-Harpur,White,3.25,,3.8165,157.3401,154.9181
1167,7580,7580,3900,4685,2011,24,GD Harpur,32,Doctor of Philosophy,Female,1,1167,White,C29,History,6605.52,Harpur Doctor of Philosophy,Bachelors Prepared,38288.52,31683,1,3.8,3.9,3.88,4,3.77,0,0,0,0,0,5,3.87,5.4,GD Harpur,White,3.64,,5.5,146,162
1168,0,0,0,0,2011,31,GD Watson,39,Doctor of Philosophy,Male,0,1168,White,R92,Computer Science,10539.3,Computer Science PhD,0,10539.3,0,1,4,4,4,4,4,4,0,0,0,0,6,4,3,GD Non-Harpur,White,3.745,,3.5,160,156
1169,4435,3330,3510,4685,2011,44,GD Education,52,Doctor of Education,Female,1,1169,Black or African American,E99,Educational Theory and Practic,7432.78,Education EDD,0,28366.78,20934,1,3.63,3.24,4,3.26,3.8,0,0,0,0,0.04,5,3.59,4,GD Non-Harpur,White,3.53,,4,153,158
1170,5688,6320,6255,6255,2011,24.3,GD Watson,33,Doctor of Philosophy,Male,1,1170,Asian,R87,Industrial and Systems Enginee,10339.94,Industrial and Systems Eng PhD,0,38994.94,28655,1,3.8,3.67,3.7,4,0,0,0,0,0,0.06,4,3.79,4.6,GD Non-Harpur,White,3.745,,3,156,138
1171,7580,5688,3510,3510,2011,47,GD Harpur,55,Doctor of Philosophy,Male,1,1171,Hispanic or Latino,C33,Comparative Literature,77301.13,Harpur Doctor of Philosophy,Masters Prepared,105091.13,27790,1,3.85,3.42,4,3.69,0,0,0,0,0,0.01,4,3.74,4.4,GD Harpur,White,3.78,,3.5,139,151
1172,7580,7580,4290,4685,2011,22,GD Harpur,30,Doctor of Philosophy,Female,1,1172,White,C47,Clinical Psychology,15772.86,Harpur Doctor of Philosophy,Bachelors Prepared,49486.86,33714,1,3.8,3.59,4,4,4,3.88,4,0,0,0.04,7,3.9,5.8,GD Harpur,White,3.985,,5,158,162
1173,7580,7580,4685,3510,2011,27,GD Harpur,35,Doctor of Philosophy,Female,1,1173,White,C47,Clinical Psychology,16170.88,Harpur Doctor of Philosophy,Bachelors Prepared,46512.88,30342,1,4,3.87,3.91,3.72,4,3.85,4,3.87,0,0,8,3.9,4.8,GD Harpur,White,3.12,,5,160,155
1174,5688,5688,3510,3510,2011,29,GD Harpur,37,Doctor of Philosophy,Female,1,1174,White,C23,English,23329.63,Harpur Doctor of Philosophy,Masters Prepared,41725.63,18396,1,4,4,3.85,4,0,0,0,0,0,-0.02,4,3.96,2.4,GD Harpur,White,3.86333,,3.5,139,149
1175,5688,5688,6255,695,2011,25.3,GD Watson,34,Doctor of Philosophy,Male,1,1175,Asia,R87,Industrial and Systems Enginee,13526.42,Industrial and Systems Eng PhD,0,34223.42,20697,1,3.9,3.9,3.85,0,0,0,0,0,0,-0.03,3,3.88,4,GD Non-Harpur,Asia,3.66,,2,161,130
1176,5436,5436,0,0,2013,24,GD Nursing,30,Doctor of Nursing Practice,Female,1,1176,White,D70,Family Nurse Practitioner,18006.8,Nursing DNP,0,28878.8,10872,1,3.68,3.62,3.65,3.87,4,3.85,0,0,0,0.06,6,3.78,2.4,GD Non-Harpur,White,3.11,,3.8165,157.3401,154.9181
1177,4435,4435,4685,3510,2011,25,GD Management,33,Doctor of Philosophy,Female,1,1177,White,B99,Management PHD,4389.93,Management PhD,0,26427.93,22038,1,4,4,4,4,0,0,0,0,0,0,4,4,3.4,GD Non-Harpur,White,3.88,590,3.8165,157.3401,154.9181
1178,5688,5688,3510,3510,2011,26,GD Harpur,34,Doctor of Philosophy,Male,1,1178,White,C33,Comparative Literature,10813.47,Harpur Doctor of Philosophy,Masters Prepared,38377.47,27564,1,4,3.85,4,4,0,0,0,0,0,0.01,4,3.96,7,GD Harpur,White,3.85,,5,138,160
1179,4435,4435,4685,3900,2011,23,GD Harpur,31,Doctor of Philosophy,Female,1,1179,Unknown,C47,Clinical Psychology,34788.23,Harpur Doctor of Philosophy,Bachelors Prepared,68323.23,33535,1,3.71,3.83,3.82,3.78,4,3.65,4,4,0,0.03,8,3.85,5.8,GD Harpur,White,3.81,,4,149,160
1180,7580,7580,6255,695,2011,24,GD Grad School,32,Doctor of Philosophy,Female,1,1180,China,H21,Materials Science and Engineer,19725.91,Graduate School PhD,0,45047.91,25322,1,4,4,0,0,0,0,0,0,0,0,2,4,3.4,GD Non-Harpur,China,3.54,,3.5,166,151
1181,7580,7580,3510,3900,2011,22,GD Harpur,30,Doctor of Philosophy,Male,1,1181,White,C46,Cognitive Psychology,20674.4,Harpur Doctor of Philosophy,Bachelors Prepared,55868.4,35194,1,3.48,3.52,3.83,3.88,3.9,0,0,0,1,0.12,5,3.72,4.8,GD Harpur,White,3.39,,3.5,151,156
1182,7580,7580,6255,6255,2011,28,GD Harpur,36,Doctor of Philosophy,Male,1,1182,Europe,C01,Anthropology,13031.04,Harpur Doctor of Philosophy,Bachelors Prepared,53733.04,40702,1,3.9,4,3.93,4,4,4,0,0,0,0.02,6,3.97,5.4,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
1183,4435,4435,3510,3510,2011,23,GD Harpur,31,Doctor of Philosophy,Female,1,1183,Unknown,C13,Biological Sciences,28309.85,Harpur Doctor of Philosophy,Bachelors Prepared,54726.85,26417,1,4,4,3.69,4,4,0,0,0,1,0,5,3.94,6.4,GD Harpur,White,3.89,,4,151,157
1184,7580,7580,4685,4685,2011,24,GD Harpur,32,Doctor of Philosophy,Female,1,1184,White,C43,Political Science,8737.85,Harpur Doctor of Philosophy,Bachelors Prepared,43671.85,34934,1,3.8,4,4,4,3.9,4,0,0,0,0.02,6,3.95,6.4,GD Harpur,White,3.82,,5,152,164
1185,7580,7580,4290,4685,2011,26,GD Harpur,34,Doctor of Philosophy,Female,1,1185,White,C47,Clinical Psychology,92178.36,Harpur Doctor of Philosophy,Bachelors Prepared,125892.36,33714,1,4,3.91,4,4,4,4,0,0,0,0.01,6,3.99,5.8,GD Harpur,White,3.85,,6,159,165
1186,6320,6320,7645,6950,2011,25,GD Harpur,33,Doctor of Philosophy,Male,1,1186,China,C29,History,23433.94,Harpur Doctor of Philosophy,0,55730.94,32297,1,3.85,3.88,3.76,4,0,0,0,0,0,0.03,4,3.87,7.8,GD Harpur,China,3.48144,,3,164,152
1187,925,925,925,925,2014,26,GD Watson,31,Doctor of Philosophy,Male,1,1187,Asia,R92,Computer Science,9218.38,Computer Science PhD,0,16694.38,7476,1,3.67,4,3.85,3.7,0,0,0,0,0,-0.01,4,3.8,4.8,GD Non-Harpur,Asia,3.605,,3.8165,157.3401,154.9181
1188,7580,7580,3510,3510,2011,21,GD Harpur,29,Doctor of Philosophy,Male,1,1188,White,C34,Mathematics,13149.18,Harpur Doctor of Philosophy,Bachelors Prepared,50503.18,37354,1,3.43,3.57,4,4,4,4,4,4,0,0.07,8,3.88,6.4,GD Harpur,White,3.82,,4.5,166,158
1189,4435,4435,4290,4685,2011,24,GD Harpur,32,Doctor of Philosophy,Male,1,1189,White,C47,Clinical Psychology,6386.59,Harpur Doctor of Philosophy,Bachelors Prepared,33810.59,27424,1,3.91,4,4,4,4,3.88,0,0,0,0,6,3.97,5.4,GD Harpur,White,3.83,,5,156,160
1190,5688,5688,3510,3510,2011,24,GD Harpur,32,Doctor of Philosophy,Male,1,1190,Hispanic or Latino,C23,English,92272.33,Harpur Doctor of Philosophy,Bachelors Prepared,110668.33,18396,1,4,4,3.85,4,0,0,0,0,0,-0.02,4,3.96,4.4,GD Harpur,White,3.83,,4,147,162
1191,6634,5688,6255,6255,2011,30,GD Harpur,38,Doctor of Philosophy,Female,1,1191,Africa,C33,Comparative Literature,26296.3,Harpur Doctor of Philosophy,Bachelors Prepared,57115.3,30819,1,3.87,4,3.87,4,0,0,0,0,0,0.03,4,3.93,6.4,GD Harpur,Africa,3.48144,,3.8165,157.3401,154.9181
1192,7580,7580,3510,3510,2011,23,GD Harpur,31,Doctor of Philosophy,Female,1,1192,White,C45,Behavioral Neuroscience,5542.69,Harpur Doctor of Philosophy,Bachelors Prepared,37343.69,31801,1,2.85,3.48,3.85,3.83,3.7,4,0,0,0,0.18,6,3.62,5,GD Harpur,White,3.04,,5,157,162
1193,7580,7580,6255,6255,2011,23,GD Harpur,31,Doctor of Philosophy,Male,1,1193,Europe,C46,Cognitive Psychology,14121.97,Harpur Doctor of Philosophy,Bachelors Prepared,58168.97,44047,1,4,3.91,3.57,3.93,4,4,0,0,0,0.02,6,3.9,4.4,GD Harpur,White,3.99,,5,159,163
1194,9175,9175,10095,7569,2013,26,GD Management,32,Doctor of Philosophy,Male,1,1194,China,B99,Management PHD,11799.32,Management PhD,0,53363.32,41564,1,3.9,3.9,3.9,4,0,0,0,0,0,0.03,4,3.92,4.4,GD Non-Harpur,China,3.285,,3.5,164,151
1195,0,7580,3900,4685,2011,22,GD Harpur,30,Doctor of Philosophy,Female,1,1195,White,C29,History,15014.82,Harpur Doctor of Philosophy,Bachelors Prepared,40473.82,25459,1,3.9,3.9,4,4,3.87,3.94,0,0,0,0,6,3.93,7.4,GD Harpur,White,3.86,,4.5,149,162
1196,7580,7580,4290,4685,2011,27,GD Harpur,35,Doctor of Philosophy,Male,1,1196,White,C47,Clinical Psychology,69807.3,Harpur Doctor of Philosophy,Bachelors Prepared,106977.3,37170,1,3.6,3.5,4,3.88,4,3.82,4,0,0,0.07,7,3.83,5.8,GD Harpur,White,3.965,,5,153,170
1197,5166,5688,5688,695,2011,28.3,GD Watson,37,Doctor of Philosophy,Male,1,1197,China,R98,Mechanical Engineering,15666.1,Mechanical Engineering PhD,0,35128.1,19462,1,4,3.9,3.87,0,0,0,0,0,0,-0.07,3,3.92,3.6,GD Non-Harpur,China,3.88,,3,159,145
