,1st_Term_Funding,2nd_Term_Funding,3rd_Term_Funding,4th_Term_Funding,Start_year,Start_age,College,Age,Degree,Gender,funding_indicator,ID,Citizenship,Major_id,Major,net_cost,Program,Prep Level,Total Charges,Total Funding Amount,Y,Term 1 GPA,Term 2 GPA,Term 3 GPA,Term 4 GPA,Term 5 GPA,Term 6 GPA,Term 7 GPA,Term 8 GPA,gap_indicator,GPA_trend,Valid term,Average_GPA,academic_period,s_College,s_Citizenship,Average Precol GPA,GMAT Score,GRE Combined General Write Score,GRE Combined Quantitative Score,GRE Combined General Verbal Score
528,4185,4185,3141,3141,2009,21,GD Harpur,31,Doctor of Philosophy,Female,1,528,Unknown,C13,Biological Sciences,3690.2,Harpur Doctor of Philosophy,Bachelors Prepared,20684.2,16994,1,3.9,4,4,3.85,0,0,0,0,0,-0.01,4,3.94,4.4,GD Harpur,White,3.48144,,4,166,156
529,0,0,0,0,2006,24.7,GD Harpur,38,Doctor of Philosophy,Female,1,529,White,C47,Clinical Psychology,27146.2,Harpur Doctor of Philosophy,Bachelors Prepared,34126.2,6980,1,4,4,3.8,3.77,3.5,3.5,4,4,0,-0.01,8,3.82,7.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
530,0,5166,5166,5688,2009,28.7,GD Watson,39,Doctor of Philosophy,Male,1,530,Asia,R96,Electrical Engineering,15596.78,Electrical Engineering PhD,0,39077.28,23480.5,1,3.57,4,3,4,4,0,0,0,0,0.09,5,3.71,4.7,GD Non-Harpur,Asia,3.35,,3.8165,157.3401,154.9181
531,0,0,0,0,2005,25.7,GD Harpur,40,Doctor of Philosophy,Female,1,531,White,C38,Philosophy Interpretation and,38322.45,Harpur Doctor of Philosophy,Masters Prepared,39020.45,698,1,4,4,4,4,0,0,0,0,0,0,4,4,7.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
532,0,0,0,0,2005,21.7,GD Harpur,36,Doctor of Philosophy,Female,1,532,White,C13,Biological Sciences,13065.95,Harpur Doctor of Philosophy,Bachelors Prepared,13414.95,349,1,4,4,4,4,4,4,4,0,1,0,7,4,4.2,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
533,0,0,0,0,2006,21.7,GD Harpur,35,Doctor of Philosophy,Male,1,533,China,C22,Economics,29025.8,Harpur Doctor of Philosophy,Bachelors Prepared,40109.8,11084,1,3.57,3.9,3.9,4,3.5,3.85,4,0,0,0.03,7,3.82,5,GD Harpur,China,3.48144,,3.8165,157.3401,154.9181
534,0,0,0,0,2002,46.7,GD Nursing,64,Doctor of Philosophy,Female,0,534,White,D99,Nursing,15107.85,Nursing PhD,0,15107.85,0,1,3.5,4,3.85,4,4,4,3.85,4,0,0.04,8,3.9,10.7,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
535,0,0,0,0,2008,27.3,GD Harpur,39,Doctor of Philosophy,Female,1,535,White,C01,Anthropology,99249.25,Harpur Doctor of Philosophy,Masters Prepared,117388.25,18139,1,3.65,4,0,0,0,0,0,0,1,0.35,2,3.83,9,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
536,0,0,0,0,2006,23.7,GD Harpur,37,Doctor of Philosophy,Female,1,536,White,C01,Anthropology,43796.75,Harpur Doctor of Philosophy,Bachelors Prepared,44166.75,370,1,3.67,3.47,3.15,3.3,4,0,0,0,0,0.05,5,3.52,6.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
537,0,0,0,0,2006,21.7,GD Harpur,35,Doctor of Philosophy,Male,1,537,White,C13,Biological Sciences,16245.89,Harpur Doctor of Philosophy,Bachelors Prepared,19735.89,3490,1,3.77,3.9,4,4,4,4,4,0,0,0.03,7,3.95,6.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
538,4320,5185,4077,4077,2011,53,GD Nursing,61,Doctor of Philosophy,Female,1,538,White,D99,Nursing,5453.01,Nursing PhD,0,24018.01,18565,1,4,4,3.94,3.91,3.77,4,4,4,0,0,8,3.95,6.4,GD Non-Harpur,White,3.9,,3.8165,157.3401,154.9181
539,0,0,0,0,2004,31.7,GD Harpur,47,Doctor of Philosophy,Male,0,539,Unknown,C23,English,7289.3,Harpur Doctor of Philosophy,Bachelors Prepared,7289.3,0,1,4,4,3.85,4,0,0,0,0,1,-0.02,4,3.96,6.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
540,0,0,0,0,2015,27,GD Nursing,31,Doctor of Philosophy,Female,0,540,Asian,D99,Nursing,30471.25,Nursing PhD,0,30471.25,0,1,3.85,3.6,3.52,4,4,0,0,0,0,0.07,5,3.79,2.4,GD Non-Harpur,White,3.35667,,3,148,152
541,0,0,0,0,2007,29.7,GD Harpur,42,Doctor of Philosophy,Male,1,541,Asia,C27,X Geology,29245.1,Harpur Doctor of Philosophy,Bachelors Prepared,39181.1,9936,1,3.9,4,4,4,0,0,0,0,0,0.03,4,3.98,3.7,GD Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
542,3510,411,411,432,2011,28.3,GD Watson,37,Doctor of Philosophy,Male,1,542,White,R92,Computer Science,2624.7,Computer Science PhD,0,7820.7,5196,1,4,4,3.85,0,0,0,0,0,0,-0.08,3,3.95,5,GD Non-Harpur,White,3.65,,3.5,161,158
543,0,0,0,0,2007,21.7,GD Harpur,34,Doctor of Philosophy,Female,1,543,White,C29,History,17309.77,Harpur Doctor of Philosophy,Bachelors Prepared,26158.77,8849,1,3.9,3.9,4,4,4,0,0,0,0,0.03,5,3.96,5.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
544,0,0,0,0,2007,56.7,GD Education,69,Doctor of Education,Female,0,544,White,E99,Educational Theory and Practic,23773.8,Education EDD,0,23773.8,0,1,3.3,3.7,3.7,3.3,4,4,4,3.3,0,0.04,8,3.66,11.7,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
545,4185,4185,4435,4435,2009,29,GD Nursing,39,Doctor of Philosophy,Female,1,545,White,D99,Nursing,9626.34,Nursing PhD,0,40578.34,30952,1,4,4,3.68,4,3.93,4,4,0,0,0.01,7,3.94,6.8,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
546,0,0,0,0,2005,25.7,GD Harpur,40,Doctor of Philosophy,Female,0,546,Black or African American,C38,Philosophy Interpretation and,7406.45,Harpur Doctor of Philosophy,Bachelors Prepared,7406.45,0,1,3.93,3.33,3.57,0,0,0,0,0,0,-0.18,3,3.61,5.2,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
547,0,0,0,0,2006,22.7,GD Harpur,36,Doctor of Philosophy,Female,1,547,White,C45,Behavioral Neuroscience,15215.85,Harpur Doctor of Philosophy,Bachelors Prepared,18705.85,3490,1,4,3.6,4,4,4,4,4,0,0,0.03,7,3.94,5.2,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
548,0,0,0,0,2003,27.7,GD Harpur,44,Doctor of Philosophy,Female,0,548,Asia,C29,History,14188.4,Harpur Doctor of Philosophy,Bachelors Prepared,14188.4,0,1,3.9,3.5,3.7,3.7,0,0,0,0,0,-0.04,4,3.7,8.2,GD Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
549,0,0,0,0,2006,22.7,GD Harpur,36,Doctor of Philosophy,Male,1,549,India,C13,Biological Sciences,31890.77,Harpur Doctor of Philosophy,Bachelors Prepared,37984.77,6094,1,3.33,3.9,4,3.84,4,3.7,4,0,0,0.06,7,3.83,7.2,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
550,0,0,0,0,2000,36.7,GD Nursing,56,Doctor of Philosophy,Female,0,550,White,D99,Nursing,41578.2,Nursing PhD,0,41578.2,0,1,4,4,3.89,4,4,4,4,4,0,0,8,3.99,10,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
551,0,0,0,0,2003,23.7,GD Harpur,40,Doctor of Philosophy,Male,0,551,Hispanic or Latino,C27,X Geology,25094.4,Harpur Doctor of Philosophy,Masters Prepared,25094.4,0,1,3,3.5,4,4,4,0,0,0,1,0.25,5,3.7,7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
552,0,0,0,0,2007,36.7,GD Harpur,49,Doctor of Philosophy,Male,1,552,White,C13,Biological Sciences,107704.19,Harpur Doctor of Philosophy,Bachelors Prepared,115116.19,7412,1,3.9,4,4,4,4,0,0,0,1,0.02,5,3.98,9.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
553,0,0,0,0,2005,25.7,GD Watson,40,Doctor of Philosophy,Male,1,553,Asia,R96,Electrical Engineering,24644.75,Electrical Engineering PhD,0,35154.75,10510,1,3.75,3.72,4,0,0,0,0,0,0,0.12,3,3.82,5.7,GD Non-Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
554,0,0,0,0,2007,22.7,GD Grad School,35,Doctor of Philosophy,Male,1,554,China,H22,Material Sci and Eng-Engineerg,29034.9,Graduate School PhD,0,41382.9,12348,1,3.93,3.77,3.77,4,4,3.87,0,0,0,0.02,6,3.89,5,GD Non-Harpur,China,3.48144,,3.8165,157.3401,154.9181
555,0,0,0,0,2007,22.7,GD Watson,35,Doctor of Philosophy,Male,1,555,China,H22,Material Sci and Eng-Engineerg,29034.9,Graduate School PhD,0,41382.9,12348,1,3.93,3.77,3.77,4,4,3.87,0,0,0,0.02,6,3.89,5,GD Non-Harpur,China,3.48144,,3.8165,157.3401,154.9181
556,0,0,0,0,2007,25.7,GD Harpur,38,Doctor of Philosophy,Female,1,556,China,C15,Chemistry,23383.3,Harpur Doctor of Philosophy,Bachelors Prepared,24487.3,1104,1,4,3.72,0,0,0,0,0,0,0,-0.28,2,3.86,2.7,GD Harpur,China,3.48144,,3.8165,157.3401,154.9181
557,0,0,0,0,2007,22.7,GD Harpur,35,Doctor of Philosophy,Female,1,557,White,C47,Clinical Psychology,27939.04,Harpur Doctor of Philosophy,Bachelors Prepared,35659.04,7720,1,3.73,3.91,3.72,3.93,3.87,3.8,0,0,0,0.01,6,3.82,6,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
558,3330,3330,390,390,2009,22,GD Watson,32,Doctor of Philosophy,Female,1,558,White,R92,Computer Science,8533.88,Computer Science PhD,0,15973.88,7440,1,3.9,4,4,4,0,0,0,0,0,0.03,4,3.98,8.4,GD Non-Harpur,White,3.36,,4.5,164,153
559,0,0,3141,349,2009,26,GD Grad School,36,Doctor of Philosophy,Male,1,559,White,H21,Materials Science and Engineer,35235.1,Graduate School PhD,0,40553.1,5318,1,0,0,0,0,0,0,0,0,0,0,0,0,4,GD Non-Harpur,White,3,,3.8165,157.3401,154.9181
560,0,0,0,0,2007,21.7,GD Watson,34,Doctor of Philosophy,Male,1,560,White,R92,Computer Science,47659.48,Computer Science PhD,0,48070.48,411,1,4,4,4,4,0,0,0,0,0,0,4,4,6.7,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
561,0,0,0,0,2006,24.7,GD Harpur,38,Doctor of Philosophy,Male,1,561,White,C43,Political Science,29323.3,Harpur Doctor of Philosophy,Bachelors Prepared,36303.3,6980,1,3.9,3.67,3.67,3.9,3.43,0,0,0,0,-0.07,5,3.71,12.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
562,0,0,0,0,2007,25.7,GD Watson,38,Doctor of Philosophy,Male,1,562,Unknown,R98,Mechanical Engineering,29316.25,Mechanical Engineering PhD,0,32832.25,3516,1,3.1,3.68,3.5,3.3,0,0,0,0,0,0.04,4,3.39,5.2,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
563,4968,4968,5166,5166,2007,22.7,GD Harpur,35,Doctor of Philosophy,Male,1,563,Europe,C34,Mathematics,15422.85,Harpur Doctor of Philosophy,Masters Prepared,35690.85,20268,1,4,4,4,3.9,4,4,4,4,0,0,8,3.99,7.2,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
564,5166,632,632,695,2007,21.7,GD Watson,34,Doctor of Philosophy,Male,1,564,India,R92,Computer Science,12589.29,Computer Science PhD,0,20409.29,7820,1,3.33,3.78,3.7,0,0,0,0,0,0,0.18,3,3.6,9.2,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
565,0,0,0,0,2007,27.7,GD Harpur,40,Doctor of Philosophy,Male,1,565,Other International Students,C46,Cognitive Psychology,32241.89,Harpur Doctor of Philosophy,Bachelors Prepared,53773.89,21532,1,3.9,3.26,3.95,3.57,4,0,0,0,1,0.05,5,3.74,4.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
566,6625,6072,6890,6890,2009,26,GD Management,36,Doctor of Philosophy,Male,1,566,India,B99,Management PHD,14231.84,Management PhD,0,55366.84,41135,1,3.78,3.67,3.57,3.8,0,0,0,0,0,0,4,3.7,4.4,GD Non-Harpur,White,3.28,,3.8165,157.3401,154.9181
567,0,0,0,0,2007,32.7,GD Harpur,45,Doctor of Philosophy,Male,1,567,India,C22,Economics,33658.05,Harpur Doctor of Philosophy,Bachelors Prepared,47031.05,13373,1,3.7,3.77,3.57,3.43,3.8,0,0,0,0,-0.01,5,3.65,5,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
568,0,0,0,0,1975,19.7,GD Education,64,Doctor of Education,Female,0,568,White,E99,Educational Theory and Practic,11874.95,Education EDD,0,11874.95,0,1,3.91,3.83,3.7,4,4,4,4,0,1,0.03,7,3.92,43.2,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
569,0,0,0,0,2003,25.7,GD Watson,42,Doctor of Philosophy,Male,0,569,Asia,R96,Electrical Engineering,22115.32,Electrical Engineering PhD,0,22115.32,0,1,3.9,3.53,3.54,3.63,3.5,4,0,0,1,0.01,6,3.68,6.7,GD Non-Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
570,0,0,0,0,2007,29.7,GD Harpur,42,Doctor of Philosophy,Male,1,570,White,C23,English,22314,Harpur Doctor of Philosophy,Masters Prepared,29294,6980,1,4,4,3.85,4,0,0,0,0,0,-0.02,4,3.96,3.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
571,4968,4968,574,574,2007,23.7,GD Harpur,36,Doctor of Philosophy,Female,1,571,Africa,C15,Chemistry,6845.44,Harpur Doctor of Philosophy,Bachelors Prepared,18561.44,11716,1,3.85,4,4,4,0,0,0,0,0,0.04,4,3.96,5,GD Harpur,Africa,3.48144,,3.8165,157.3401,154.9181
572,0,0,0,0,2008,29.7,GD Watson,41,Doctor of Philosophy,Male,1,572,Asia,R87,Industrial and Systems Enginee,26102.35,Industrial and Systems Eng PhD,0,28354.35,2252,1,3.85,3.7,0,0,0,0,0,0,0,-0.15,2,3.78,3.2,GD Non-Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
573,0,0,0,0,2005,24.7,GD Harpur,39,Doctor of Philosophy,Female,1,573,India,C22,Economics,22624.45,Harpur Doctor of Philosophy,Bachelors Prepared,22624.45,0,1,3.67,3.67,3.67,3.85,3.65,3.85,0,0,0,0.03,6,3.73,4.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
574,0,0,0,0,2005,25.7,GD Harpur,40,Doctor of Philosophy,Female,1,574,Asia,C29,History,17042.05,Harpur Doctor of Philosophy,Bachelors Prepared,17594.05,552,1,4,4,4,0,0,0,0,0,0,0,3,4,6,GD Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
575,0,0,0,0,2015,36.3,GD Nursing,41,Doctor of Nursing Practice,Female,0,575,White,D70,Family Nurse Practitioner,41103.2,Nursing DNP,0,41103.2,0,1,4,3.83,3.65,4,4,0,0,0,0,0.02,5,3.9,2,GD Non-Harpur,White,3.84,,3.8165,157.3401,154.9181
576,0,0,0,552,2005,24.7,GD Watson,39,Doctor of Philosophy,Female,1,576,India,R92,Computer Science,22154.95,Computer Science PhD,0,22706.95,552,1,3.43,4,3.7,3.5,3.5,4,4,4,0,0.06,8,3.77,6.2,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
577,0,349,349,574,2008,23.7,GD Watson,35,Doctor of Philosophy,Male,1,577,India,R92,Computer Science,4048.15,Computer Science PhD,0,7853.15,3805,1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
578,0,0,0,0,2007,23.7,GD Harpur,36,Doctor of Philosophy,Female,1,578,China,C14,Biological Sciences,26829.14,Harpur Doctor of Philosophy,Bachelors Prepared,30345.14,3516,1,4,4,4,4,0,0,0,0,0,0,4,4,5,GD Harpur,China,3.48144,,3.8165,157.3401,154.9181
579,0,0,0,0,2007,27.7,GD Harpur,40,Doctor of Philosophy,Female,1,579,Asia,C38,Philosophy Interpretation and,22201.58,Harpur Doctor of Philosophy,Masters Prepared,26303.58,4102,1,3.77,3.8,3.7,0,0,0,0,0,0,-0.04,3,3.76,9.2,GD Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
580,0,0,0,0,2007,22.7,GD Harpur,35,Doctor of Philosophy,Male,1,580,Unknown,C34,Mathematics,48660.29,Harpur Doctor of Philosophy,Masters Prepared,68928.29,20268,1,3.87,3.87,3.87,3.94,3.69,4,3.44,4,0,-0.01,8,3.83,10.2,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
581,0,0,0,0,2010,23.7,GD Watson,33,Doctor of Philosophy,Male,0,581,India,R87,Industrial and Systems Enginee,33952.09,Industrial and Systems Eng PhD,0,33952.09,0,1,3.7,3.7,4,3.3,3.5,3,0,0,1,-0.14,6,3.53,6.7,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
582,0,0,0,0,2007,21.7,GD Harpur,34,Doctor of Philosophy,Male,1,582,China,C34,Mathematics,40697.42,Harpur Doctor of Philosophy,Bachelors Prepared,60965.42,20268,1,4,3.9,4,4,4,4,4,4,0,0.01,8,3.99,7.7,GD Harpur,China,3.48144,,3.8165,157.3401,154.9181
583,574,632,632,0,2007,27.7,GD Watson,40,Doctor of Philosophy,Male,1,583,Unknown,R92,Computer Science,12025.95,Computer Science PhD,0,13863.95,1838,1,4,3.9,3.9,0,0,0,0,0,0,-0.05,3,3.93,9.2,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
584,0,0,0,0,2010,27.3,GD Watson,37,Doctor of Philosophy,Male,1,584,China,R98,Mechanical Engineering,31214.25,Mechanical Engineering PhD,0,37330.25,6116,1,0,0,0,0,0,0,0,0,0,0,0,0,2,GD Non-Harpur,China,3.65,,3.8165,157.3401,154.9181
585,0,552,552,0,2007,25.7,GD Watson,38,Doctor of Philosophy,Female,1,585,China,R92,Computer Science,18369.55,Computer Science PhD,0,21517.55,3148,1,3.72,3.91,4,0,0,0,0,0,0,0.14,3,3.88,6.7,GD Non-Harpur,China,3.48144,,3.8165,157.3401,154.9181
586,0,0,0,0,2010,32.3,GD Grad School,42,Doctor of Philosophy,Male,1,586,Asia,H22,Material Sci and Eng-Engineerg,23103.14,Graduate School PhD,0,24781.14,1678,1,0,0,0,0,0,0,0,0,0,0,0,0,2.6,GD Non-Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
587,0,0,0,0,2008,48.3,GD Harpur,60,Doctor of Philosophy,Male,0,587,White,C15,Chemistry,5457.9,Harpur Doctor of Philosophy,Masters Prepared,5457.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
588,0,0,0,0,2005,20.7,GD Harpur,35,Doctor of Philosophy,Female,0,588,White,C45,Behavioral Neuroscience,102745.9,Harpur Doctor of Philosophy,Bachelors Prepared,102745.9,0,1,3.36,3.63,3.14,4,4,3,0,0,1,0,6,3.52,6.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
589,0,0,0,0,1984,32.7,GD Harpur,68,Doctor of Philosophy,Female,0,589,White,C01,Anthropology,16317.05,Harpur Doctor of Philosophy,Masters Prepared,16317.05,0,1,3.33,3.27,3.7,3.6,4,3.7,0,0,1,0.11,6,3.6,33.2,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
590,0,0,0,0,2005,25.7,GD Watson,40,Doctor of Philosophy,Male,1,590,China,R96,Electrical Engineering,36610.05,Electrical Engineering PhD,0,38862.05,2252,1,3.67,3.85,3.7,4,3.7,4,4,0,0,0.05,7,3.85,6,GD Non-Harpur,China,3.48144,,3.8165,157.3401,154.9181
591,4968,5166,5166,632,2009,31.7,GD Watson,42,Doctor of Philosophy,Male,1,591,Asia,R87,Industrial and Systems Enginee,5319.15,Industrial and Systems Eng PhD,0,21883.15,16564,1,3.43,3.1,4,0,0,0,0,0,0,0.28,3,3.51,2.7,GD Non-Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
592,0,0,0,0,2006,23.7,GD Harpur,37,Doctor of Philosophy,Male,1,592,White,C23,English,23193.1,Harpur Doctor of Philosophy,Masters Prepared,29475.1,6282,1,3.65,3.77,4,0,0,0,0,0,0,0.17,3,3.81,12.2,GD Harpur,White,3.59,,3.8165,157.3401,154.9181
593,0,0,0,0,2003,22.7,GD Harpur,39,Doctor of Philosophy,Female,0,593,India,C09,Art History,22830,Harpur Doctor of Philosophy,Bachelors Prepared,22830,0,1,3.9,3.9,3.85,0,0,0,0,0,0,-0.03,3,3.88,8.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
594,0,0,0,0,2000,23.7,GD Nursing,43,Doctor of Philosophy,Female,0,594,White,D99,Nursing,17667.7,Nursing PhD,0,17667.7,0,1,3.93,3.68,4,3.3,4,0,0,0,1,-0.02,5,3.78,13.2,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
595,0,0,0,0,2005,25.7,GD Harpur,40,Doctor of Philosophy,Female,0,595,Asia,C52,Sociology,26586.33,Harpur Doctor of Philosophy,Masters Prepared,26586.33,0,1,3.9,3.67,3.9,0,0,0,0,0,0,0,3,3.82,7.7,GD Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
596,0,0,0,0,2005,22.7,GD Watson,37,Doctor of Philosophy,Male,1,596,Asia,R92,Computer Science,29189.6,Computer Science PhD,0,46129.6,16940,1,3.67,3.67,3.43,0,0,0,0,0,0,-0.12,3,3.59,8,GD Non-Harpur,Asia,3.48144,,3.8165,157.3401,154.9181
597,0,0,0,0,2005,28.7,GD Harpur,43,Doctor of Philosophy,Male,1,597,Unknown,C09,Art History,66573.79,Harpur Doctor of Philosophy,Bachelors Prepared,67205.79,632,1,3.85,4,3.85,3.7,0,0,0,0,0,-0.06,4,3.85,12.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
598,0,0,0,0,1991,38.7,GD Harpur,67,Doctor of Philosophy,Female,0,598,White,C29,History,5840.1,Harpur Doctor of Philosophy,Bachelors Prepared,5840.1,0,1,3.3,4,3.3,4,4,4,4,0,0,0.1,7,3.8,21.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
599,349,349,349,349,2008,28.3,GD Grad School,40,Doctor of Philosophy,Male,1,599,White,H21,Materials Science and Engineer,1099.9,Graduate School PhD,0,2495.9,1396,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
600,349,349,349,349,2008,28.3,GD Watson,40,Doctor of Philosophy,Male,1,600,White,H21,Materials Science and Engineer,1099.9,Graduate School PhD,0,2495.9,1396,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
601,0,0,0,0,2004,27.7,GD Watson,43,Doctor of Philosophy,Male,1,601,Asian,R92,Computer Science,35951.35,Computer Science PhD,0,36300.35,349,1,3.77,3.9,3.85,0,0,0,0,0,0,0.04,3,3.84,8.2,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
602,0,0,0,0,2007,29.7,GD Harpur,42,Doctor of Philosophy,Female,1,602,Hispanic or Latino,C47,Clinical Psychology,104759.14,Harpur Doctor of Philosophy,Bachelors Prepared,115271.14,10512,1,3.63,3.78,3.48,3.75,3.88,4,4,0,0,0.07,7,3.79,7.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
603,0,0,0,0,1999,33.7,GD Harpur,54,Doctor of Philosophy,Female,0,603,Other International Students,C09,Art History,17790.7,Harpur Doctor of Philosophy,Bachelors Prepared,17790.7,0,1,3.53,3.67,3.9,0,0,0,0,0,0,0.18,3,3.7,10.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
604,0,0,0,0,2007,23.7,GD Watson,36,Doctor of Philosophy,Male,1,604,Europe,R96,Electrical Engineering,33028.3,Electrical Engineering PhD,0,46192.3,13164,1,3.67,3.42,3.77,4,0,0,0,0,0,0.13,4,3.71,5.7,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
605,0,0,0,0,2007,23.7,GD Harpur,36,Doctor of Philosophy,Female,1,605,India,C15,Chemistry,28000.9,Harpur Doctor of Philosophy,Bachelors Prepared,35932.9,7932,1,3.85,4,3.7,3.65,0,0,0,0,0,-0.09,4,3.8,4.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
606,0,0,0,0,2007,22.7,GD Harpur,35,Doctor of Philosophy,Female,1,606,Hispanic or Latino,C45,Behavioral Neuroscience,44809.3,Harpur Doctor of Philosophy,Masters Prepared,58503.3,13694,1,3.2,3.33,3.27,3.65,3.93,3.32,0,0,0,0.08,6,3.45,6,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
607,0,0,0,0,2001,21.7,GD Watson,40,Doctor of Philosophy,Male,0,607,Europe,R98,Mechanical Engineering,15674.45,Mechanical Engineering PhD,0,15674.45,0,1,3.85,3.31,3.23,2.7,3.5,4,3.7,0,0,0.04,7,3.47,8,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
608,0,0,0,0,2007,27.7,GD Harpur,40,Doctor of Philosophy,Male,0,608,Asia,C23,English,28062.8,Harpur Doctor of Philosophy,Masters Prepared,28062.8,0,1,2.1,3,3,3.5,3.85,4,3.1,3.77,0,0.19,8,3.29,5.7,GD Harpur,Asia,3.45,,3.8165,157.3401,154.9181
609,0,0,0,0,2007,51.7,GD Nursing,64,Doctor of Philosophy,Female,0,609,Unknown,D99,Nursing,20963.7,Nursing PhD,0,20963.7,0,1,4,4,4,4,4,4,4,4,0,0,8,4,6.7,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
610,0,0,0,0,2007,25.7,GD Harpur,38,Doctor of Philosophy,Female,1,610,White,C34,Mathematics,14981.19,Harpur Doctor of Philosophy,Masters Prepared,19169.19,4188,1,3.69,3.87,4,4,4,0,0,0,0,0.07,5,3.91,4.7,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
611,0,0,0,0,2004,44.7,GD Education,60,Doctor of Education,Female,0,611,White,E99,Educational Theory and Practic,10936.25,Education EDD,0,10936.25,0,1,3.3,3.7,3.3,4,3.7,3.7,4,0,1,0.09,7,3.67,7,GD Non-Harpur,White,3.48144,,3.8165,157.3401,154.9181
612,0,0,0,0,2004,25.7,GD Harpur,41,Doctor of Philosophy,Male,0,612,White,C23,English,22299.9,Harpur Doctor of Philosophy,Masters Prepared,22299.9,0,1,4,4,3.77,3.23,4,3.8,4,3.7,0,-0.01,8,3.81,9.2,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
613,0,0,0,0,2006,21.7,GD Harpur,35,Doctor of Philosophy,Female,1,613,White,C29,History,17696.31,Harpur Doctor of Philosophy,Bachelors Prepared,24676.31,6980,1,3.38,3.9,4,3.87,3.62,3.87,0,0,0,0.04,6,3.77,8.2,GD Harpur,White,3.48144,,3.8165,157.3401,154.9181
